"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2017","4,828.32","4,842.91","4,845.45","4,815.67","126.45M","0.04%"
"02/09/2017","4,826.24","4,793.01","4,831.31","4,769.86","103.92M","1.25%"
"02/08/2017","4,766.60","4,768.00","4,790.29","4,733.82","105.28M","0.26%"
"02/07/2017","4,754.47","4,762.17","4,787.94","4,750.03","86.54M","-0.49%"
"02/06/2017","4,778.08","4,829.68","4,841.17","4,773.35","79.26M","-0.98%"
"02/03/2017","4,825.42","4,808.46","4,847.47","4,803.91","83.32M","0.65%"
"02/02/2017","4,794.29","4,785.14","4,812.31","4,774.18","101.66M","-0.01%"
"02/01/2017","4,794.58","4,786.85","4,823.81","4,782.61","100.93M","0.96%"
"01/31/2017","4,748.90","4,790.28","4,812.55","4,748.90","101.53M","-0.75%"
"01/30/2017","4,784.64","4,823.50","4,830.69","4,771.98","85.96M","-1.14%"
"01/27/2017","4,839.98","4,867.31","4,867.31","4,829.70","81.89M","-0.56%"
"01/26/2017","4,867.24","4,891.86","4,901.07","4,855.76","96.93M","-0.21%"
"01/25/2017","4,877.67","4,865.09","4,890.16","4,854.55","117.83M","0.99%"
"01/24/2017","4,830.03","4,831.95","4,840.50","4,816.73","90.67M","0.18%"
"01/23/2017","4,821.41","4,816.98","4,842.97","4,800.39","80.98M","-0.60%"
"01/20/2017","4,850.67","4,834.30","4,869.38","4,818.88","121.40M","0.20%"
"01/19/2017","4,841.14","4,859.76","4,867.58","4,829.82","98.60M","-0.25%"
"01/18/2017","4,853.40","4,874.31","4,875.74","4,827.11","91.66M","-0.13%"
"01/17/2017","4,859.69","4,865.19","4,889.16","4,841.68","90.45M","-0.46%"
"01/16/2017","4,882.18","4,883.43","4,911.39","4,879.80","74.15M","-0.82%"
"01/13/2017","4,922.49","4,889.45","4,924.58","4,883.06","109.57M","1.20%"
"01/12/2017","4,863.97","4,873.01","4,889.21","4,857.44","102.49M","-0.51%"
"01/11/2017","4,888.71","4,890.04","4,916.48","4,856.50","102.73M","0.01%"
"01/10/2017","4,888.23","4,894.45","4,906.15","4,868.50","95.68M","0.01%"
"01/09/2017","4,887.57","4,915.35","4,915.60","4,867.83","74.96M","-0.45%"
"01/06/2017","4,909.84","4,885.19","4,911.49","4,874.42","75.99M","0.19%"
"01/05/2017","4,900.64","4,881.72","4,905.84","4,874.79","90.82M","0.03%"
"01/04/2017","4,899.40","4,912.95","4,913.94","4,879.23","79.67M","0.00%"
"01/03/2017","4,899.33","4,904.77","4,929.60","4,896.11","85.16M","0.35%"
"01/02/2017","4,882.38","4,845.96","4,896.01","4,843.93","35.37M","0.41%"
"12/30/2016","4,862.31","4,837.68","4,864.29","4,825.14","54.70M","0.49%"
"12/29/2016","4,838.47","4,824.75","4,845.67","4,822.29","46.55M","-0.20%"
"12/28/2016","4,848.01","4,846.14","4,851.51","4,840.14","50.90M","-0.01%"
"12/27/2016","4,848.28","4,840.17","4,852.55","4,837.00","36.21M","0.18%"
"12/23/2016","4,839.68","4,837.41","4,844.80","4,825.93","49.86M","0.10%"
"12/22/2016","4,834.63","4,825.15","4,841.65","4,818.81","67.75M","0.02%"
"12/21/2016","4,833.82","4,831.56","4,851.52","4,821.24","68.69M","-0.33%"
"12/20/2016","4,849.89","4,822.30","4,852.58","4,815.23","90.49M","0.56%"
"12/19/2016","4,822.77","4,820.49","4,829.55","4,812.08","97.78M","-0.22%"
"12/16/2016","4,833.27","4,815.35","4,856.96","4,804.70","212.72M","0.29%"
"12/15/2016","4,819.23","4,776.83","4,830.30","4,776.33","145.55M","1.05%"
"12/14/2016","4,769.24","4,778.96","4,790.63","4,765.01","112.78M","-0.72%"
